window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
10,6.0,86400,292,0.0,-1.2406783981356755,-1.1297546502506384,-362.27809225561725,-0.13387002677069462,-2.26017301708952,2.1606624325762707,0.2336520545914324,4739.0,0.9897260273972602,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
10,4.0,86400,359,0.0,-1.4007705662046173,-1.1298148030894297,-502.87663326745763,-1.0180791062823373,-2.26017301708952,4.064633917367438,0.38442908245076524,4711.0,0.9944289693593314,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
5,6.0,86400,293,0.0,-1.3492779543126754,-1.2395682395031307,-395.3384406136139,-0.20389463808200928,-2.249483050809932,3.025347160019965,0.3372745735230534,3002.0,0.9931740614334471,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
3,4.0,86400,353,0.0,-1.6771139706584508,-1.6818020624925258,-592.0212316424331,-0.3660376279033999,-2.6728307989235685,6.251498897918817,0.650909662918729,3073.0,0.9886685552407932,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
10,4.0,900,380,0.007894736842105263,-0.602714438024309,-0.1317584015555439,-229.03148644923743,1.041134960604162,-2.234568484352842,0.3519450935977831,0.41357354881257397,900.0,0.18157894736842106,0.002631578947368421,0.0,0.0,0.0,0.0,0.006142041085524219,side:long
3,6.0,900,299,0.010033444816053512,-0.6694545521548304,-0.37460438650152056,-200.1669110942943,4.6828845000169155,-2.590560273231702,0.5664376728927839,0.4921928348712237,900.0,0.20735785953177258,0.006688963210702341,0.006688963210702341,0.006688963210702341,0.0,0.0,0.042969681721940496,side:long
3,4.0,900,423,0.0070921985815602835,-0.7852691521093769,-0.3881576528780825,-332.1688513422664,3.8969384866961607,-2.590560273231702,0.634193224209593,0.62651465861955,900.0,0.1773049645390071,0.004728132387706856,0.002364066193853428,0.002364066193853428,0.0,0.0,0.016459694662180977,side:long
10,6.0,900,337,0.011869436201780416,-0.46505085237821275,-0.1276248862018655,-156.7221372514577,1.0413441612020697,-2.2271604316036604,0.2147210362720557,0.26193780102733233,900.0,0.18694362017804153,0.002967359050445104,0.0,0.0,0.0,0.0,0.014138532505443746,side:long
5,6.0,900,350,0.002857142857142857,-0.5770504355045069,-0.22507412651909975,-201.96765242657742,1.7714336847954397,-2.590560273231702,0.3594924262621929,0.3760205539095071,900.0,0.20285714285714285,0.002857142857142857,0.0,0.0,0.0,0.0,0.008694618782314038,side:long
5,4.0,900,431,0.002320185614849188,-0.7524696208156233,-1.0302493371284522,-324.31440657153365,1.7722116450362404,-2.590560273231702,0.43035089530220305,0.5673605522919011,900.0,0.18561484918793503,0.002320185614849188,0.0,0.0,0.0,0.0,0.005434788016536235,side:long
3,6.0,3600,299,0.010033444816053512,-0.8685065204462219,-0.42031688829664454,-259.68344961342035,4.735780712929099,-2.5464922969320947,1.3038136145723145,0.4921928348712237,3600.0,0.4080267558528428,0.010033444816053512,0.010033444816053512,0.006688963210702341,0.0,0.0,0.04144651993015714,side:long
3,4.0,3600,423,0.0070921985815602835,-0.9794441611455391,-1.0754101278524621,-414.30488016456303,7.882501629051884,-2.5464922969320947,1.6370288572758938,0.62651465861955,3600.0,0.3806146572104019,0.004728132387706856,0.004728132387706856,0.004728132387706856,0.002364066193853428,0.0,0.02862826917858667,side:long
10,6.0,3600,337,0.008902077151335312,-0.6980492027903151,-1.017393472399329,-235.24258134033622,1.0493853683235104,-2.2271604316036604,0.6665098808291201,0.26193780102733233,3600.0,0.3264094955489614,0.002967359050445104,0.0,0.0,0.0,0.0,0.006090488465116653,side:long
5,6.0,3600,350,0.011428571428571429,-0.8025593868790692,-1.1142604578333348,-280.8957854076742,1.747197939270905,-2.5464922969320947,1.0188243805989354,0.3760205539095071,3600.0,0.4342857142857143,0.005714285714285714,0.0,0.0,0.0,0.0,0.015325423362177067,side:long
5,4.0,3600,431,0.0069605568445475635,-0.9818531147668814,-1.1393760196522351,-423.1786924645259,1.7479652559033187,-2.5464922969320947,1.5609375056641748,0.5673605522919011,3600.0,0.41531322505800466,0.004640371229698376,0.0,0.0,0.0,0.0,0.008699565233111724,side:long
10,4.0,3600,380,0.007894736842105263,-0.8122529927955888,-1.029630005305496,-308.65613726232374,2.4287766504105486,-2.234568484352842,1.0957242722971863,0.41357354881257397,3600.0,0.3236842105263158,0.005263157894736842,0.002631578947368421,0.0,0.0,0.0,0.011947715537123128,side:long
5,4.0,14400,431,0.002320185614849188,-1.5849733901476062,-1.247615540869054,-683.1235311536183,0.14883368530590887,-3.692066301786888,5.171516180451519,0.5673605522919011,4365.0,0.988399071925754,0.0,0.0,0.0,0.0,0.0,0.00021782482793811686,side:long
10,4.0,14400,380,0.002631578947368421,-1.4046351926770635,-1.1296703838735587,-533.7613732172841,0.15382042580019428,-2.717470613273443,3.680346706150705,0.41357354881257397,6477.0,0.8342105263157895,0.0,0.0,0.0,0.0,0.0,0.0002880989858157536,side:long
5,6.0,14400,350,0.002857142857142857,-1.3856213379939148,-1.2308469096358325,-484.9674682978702,0.14876835073371816,-3.692066301786888,3.1374472010692385,0.3760205539095071,4304.5,0.9914285714285714,0.0,0.0,0.0,0.0,0.0,0.0003066653710901851,side:long
10,6.0,14400,337,0.002967359050445104,-1.2380213865273946,-1.129612110848559,-417.213207259732,0.15385133372881588,-2.717470613273443,2.1712652945037414,0.26193780102733233,7366.0,0.7893175074183977,0.0,0.0,0.0,0.0,0.0,0.0003686235666209484,side:long
3,4.0,14400,423,0.002364066193853428,-1.6489922236822006,-1.4020041517855377,-697.5237106175708,1.0888901239375446,-3.692066301786888,5.4041767269513485,0.62651465861955,4898.0,0.9905437352245863,0.002364066193853428,0.0,0.0,0.0,0.0,0.0015586465557331705,side:long
3,6.0,14400,299,0.006688963210702341,-1.4882556816254213,-1.3894605896590593,-444.988448806001,2.060422378417966,-3.692066301786888,3.7758539889343767,0.4921928348712237,4543.0,0.9832775919732442,0.006688963210702341,0.0033444816053511705,0.0,0.0,0.0,0.007027209976088197,side:long
10,6.0,86400,337,0.0,-1.2622629449963358,-1.1296434114267622,-425.3826124637652,-0.13366770137622744,-2.717470613273443,2.767381100404072,0.26193780102733233,7366.0,0.9910979228486647,0.0,0.0,0.0,0.0,0.0,0.0,side:long
5,6.0,86400,350,0.0,-1.3896779388593445,-1.2314512030453018,-486.38727860077057,-0.23530478496340002,-3.692066301786888,3.979132006412734,0.3760205539095071,4304.5,0.9942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,side:long
10,4.0,86400,380,0.0,-1.423359341017169,-1.129680346678227,-540.8765495865242,-0.13364084823382677,-2.717470613273443,4.744286573513201,0.41357354881257397,6477.0,0.9921052631578947,0.0,0.0,0.0,0.0,0.0,0.0,side:long
5,4.0,86400,431,0.0,-1.5882680414047792,-1.2476386374692239,-684.5435258454598,-0.23350526075933792,-3.692066301786888,6.705146788491575,0.5673605522919011,4365.0,0.9907192575406032,0.0,0.0,0.0,0.0,0.0,0.0,side:long
3,4.0,86400,423,0.0,-1.6549973144371117,-1.4020293054602866,-700.0638640068983,-0.39061102751129473,-3.692066301786888,6.99778346641791,0.62651465861955,4898.0,0.9929078014184397,0.0,0.0,0.0,0.0,0.0,0.0,side:long
3,6.0,86400,299,0.0,-1.508494231159446,-1.3906061564768133,-451.0397751166744,-0.38931370764214934,-3.692066301786888,4.908649192764026,0.4921928348712237,4543.0,0.9899665551839465,0.0,0.0,0.0,0.0,0.0,0.0,side:long
10,4.0,900,406,0.007389162561576354,-0.5486864016499454,-0.13099213164261445,-222.76667906987785,14.934510242387592,-2.7227263647585063,0.4257811560852052,0.40894287200331686,900.0,0.16995073891625614,0.0049261083743842365,0.0024630541871921183,0.0024630541871921183,0.0024630541871921183,0.0024630541871921183,0.0688337711354598,side:short
5,6.0,900,292,0.010273972602739725,-0.5519492639010254,-0.226259326054824,-161.16918505909942,3.229422888913173,-2.541515579028196,0.346604670022187,0.34414594312100205,900.0,0.22602739726027396,0.00684931506849315,0.00684931506849315,0.003424657534246575,0.0,0.0,0.03819163592937886,side:short
10,6.0,900,305,0.006557377049180328,-0.4523099024461285,-0.12767743756065647,-137.9545202460692,0.5503669541267945,-2.7227263647585063,0.2047240342858364,0.24600534062002816,900.0,0.18360655737704917,0.0,0.0,0.0,0.0,0.0,0.006595900636158056,side:short
5,4.0,900,379,0.005277044854881266,-0.6287582190502605,-0.2306733837611722,-238.29936502004875,3.083136780348225,-2.541515579028196,0.39192505669772426,0.4571699896106774,900.0,0.18469656992084432,0.005277044854881266,0.005277044854881266,0.002638522427440633,0.0,0.0,0.023889859327454327,side:short
3,4.0,900,405,0.0024691358024691358,-0.7689326693415702,-0.3843532203839914,-311.4177310833359,13.417375873799601,-2.541515579028196,0.5899695275085516,0.6331974188790136,900.0,0.16790123456790124,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.04130519019168124,side:short
3,6.0,900,343,0.0029154518950437317,-0.7238969101947738,-0.3771433364398849,-248.2966401968074,2.8511455036230084,-2.541515579028196,0.47645149744806436,0.5406723872825993,900.0,0.18950437317784258,0.0029154518950437317,0.0029154518950437317,0.0,0.0,0.0,0.011352461243770871,side:short
10,4.0,3600,406,0.0049261083743842365,-0.8205383931503207,-1.0368899100847828,-333.1385876190302,14.990171536940455,-2.7667943410581137,1.249746357111464,0.40894287200331686,3600.0,0.33251231527093594,0.0049261083743842365,0.0024630541871921183,0.0024630541871921183,0.0024630541871921183,0.0024630541871921183,0.04631752618116343,side:short
10,6.0,3600,305,0.003278688524590164,-0.6874883159170363,-1.0206451532195133,-209.68393635469607,0.7495444760091559,-2.7667943410581137,0.5338835325830023,0.24600534062002816,3600.0,0.3016393442622951,0.0,0.0,0.0,0.0,0.0,0.003561906941092554,side:short
5,4.0,3600,379,0.0079155672823219,-0.8838866411061026,-1.1224959214597658,-334.9930369792129,3.08661755848772,-2.6236037441714863,1.3054096688351464,0.4571699896106774,3600.0,0.43799472295514513,0.005277044854881266,0.005277044854881266,0.002638522427440633,0.0,0.0,0.01959955173187475,side:short
3,4.0,3600,405,0.0024691358024691358,-1.0548172712400568,-1.1751700329948052,-427.200994852223,13.564733546788796,-2.6236037441714863,1.9249497870019499,0.6331974188790136,3600.0,0.4419753086419753,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.030775381734101288,side:short
3,6.0,3600,343,0.008746355685131196,-0.9593775047044648,-1.1299541459733735,-329.0664841136314,2.8698960019124926,-2.6236037441714863,1.3673852070247654,0.5406723872825993,3600.0,0.42565597667638483,0.0058309037900874635,0.0029154518950437317,0.0,0.0,0.0,0.01578861544669802,side:short
5,6.0,3600,292,0.00684931506849315,-0.7814333240202815,-1.0617520291063487,-228.17853061392222,3.2391537920415487,-2.6236037441714863,0.8812157094443633,0.34414594312100205,3600.0,0.4486301369863014,0.00684931506849315,0.00684931506849315,0.003424657534246575,0.0,0.0,0.024078419523858863,side:short
5,6.0,14400,292,0.00684931506849315,-1.333630223734055,-1.2309103231191731,-389.42002533034406,1.6687288402925486,-3.617075014341558,2.7527695537734425,0.34414594312100205,4120.5,0.9828767123287672,0.003424657534246575,0.0,0.0,0.0,0.0,0.006292306753662125,side:short
10,6.0,14400,305,0.0,-1.2331463032431054,-1.1297382492095114,-376.1096224891471,-0.9517266732662215,-3.689197331233378,1.955843269280765,0.24600534062002816,7519.0,0.7704918032786885,0.0,0.0,0.0,0.0,0.0,0.0,side:short
5,4.0,14400,379,0.005277044854881266,-1.4584508569755599,-1.236781553014367,-552.7528747937372,1.548222984397014,-3.617075014341558,4.271567293581725,0.4571699896106774,4299.0,0.9868073878627969,0.005277044854881266,0.0,0.0,0.0,0.0,0.0048981912432147405,side:short
